Object_Number, X1, Y1, X2, Y2, Face_Area, Eye_Area_Ratio
209, 440, 168, 606, 334, 27225.00, 0.11
210, 441, 167, 606, 332, 26896.00, 0.11
211, 442, 168, 605, 331, 26244.00, 0.14
212, 446, 169, 603, 326, 24336.00, 0.14
213, 442, 167, 606, 331, 26569.00, 0.13
214, 439, 163, 607, 331, 27889.00, 0.12
215, 439, 163, 606, 330, 27556.00, 0.11
216, 441, 164, 603, 326, 25921.00, 0.14
217, 442, 165, 604, 327, 25921.00, 0.12
218, 442, 165, 604, 327, 25921.00, 0.12
219, 443, 165, 603, 325, 25281.00, 0.15
220, 442, 162, 606, 326, 26569.00, 0.12
221, 443, 162, 604, 323, 25600.00, 0.13
222, 443, 162, 604, 323, 25600.00, 0.13
223, 442, 162, 604, 324, 25921.00, 0.14
224, 442, 162, 603, 323, 25600.00, 0.13
225, 440, 160, 604, 324, 26569.00, 0.15
226, 440, 160, 603, 323, 26244.00, 0.15
227, 441, 160, 602, 321, 25600.00, 0.17
228, 441, 160, 601, 320, 25281.00, 0.12
229, 441, 160, 599, 318, 24649.00, 0.13
230, 440, 159, 600, 319, 25281.00, 0.12
231, 441, 160, 600, 319, 24964.00, 0.13
232, 440, 159, 602, 321, 25921.00, 0.11
233, 442, 162, 599, 319, 24336.00, 0.15
234, 438, 159, 599, 320, 25600.00, 0.12
235, 440, 160, 600, 320, 25281.00, 0.12
236, 440, 160, 599, 319, 24964.00, 0.14
237, 438, 158, 601, 321, 26244.00, 0.12
238, 441, 160, 600, 319, 24964.00, 0.11
239, 440, 160, 600, 320, 25281.00, 0.13
240, 441, 160, 601, 320, 25281.00, 0.13
241, 441, 160, 601, 320, 25281.00, 0.13
242, 441, 160, 601, 320, 25281.00, 0.12
243, 441, 160, 602, 321, 25600.00, 0.14
244, 441, 160, 602, 321, 25600.00, 0.15
245, 442, 161, 603, 322, 25600.00, 0.12
246, 440, 159, 605, 324, 26896.00, 0.11
247, 445, 162, 604, 321, 24964.00, 0.12
248, 444, 162, 602, 320, 24649.00, 0.11
249, 442, 160, 605, 323, 26244.00, 0.11
250, 441, 160, 604, 323, 26244.00, 0.14
251, 441, 161, 602, 322, 25600.00, 0.12
252, 441, 161, 603, 323, 25921.00, 0.11
253, 441, 161, 603, 323, 25921.00, 0.11
254, 440, 160, 605, 325, 26896.00, 0.12
255, 439, 160, 604, 325, 26896.00, 0.15
256, 438, 160, 604, 326, 27225.00, 0.26
257, 437, 159, 603, 325, 27225.00, 0.11
258, 437, 159, 603, 325, 27225.00, 0.15
259, 439, 160, 602, 323, 26244.00, 0.12
260, 438, 161, 601, 324, 26244.00, 0.18
261, 437, 161, 599, 323, 25921.00, 0.12
262, 438, 162, 599, 323, 25600.00, 0.15
263, 436, 160, 600, 324, 26569.00, 0.13
264, 436, 161, 600, 325, 26569.00, 0.12
265, 437, 162, 600, 325, 26244.00, 0.15
266, 437, 162, 600, 325, 26244.00, 0.15
